md5,origen,estado,archivo_maestro
7977d2ef67d1ed4af79de34a7d25147d,cables-iphone/CABLE-LTN-1.jpg,unica,images/cables-iphone/CABLE-LTN-1.jpg
2bb94ea65de4be5892e0da5248690c7b,cables-iphone/CABLE-LTN-2.jpg,unica,images/cables-iphone/CABLE-LTN-2.jpg
98d9987518c60e9c7afeaba7e00393c9,cables-iphone/CABLE-USBC-1.jpg,unica,images/cables-iphone/CABLE-USBC-1.jpg
b7c78c349fbe5d90b006cdd0bc083703,cables-iphone/cable usb c a c.jpg,unica,images/cables-iphone/cable usb c a c.jpg
5ca3f5c1a703ad7a2f930b10ffa2dfe0,cables-iphone/cable usb c a c1 m portada.jpg,unica,images/cables-iphone/cable usb c a c1 m portada.jpg
498d595c848f056b63df1de3f114d92a,cables-iphone/cargador ligthning.jpg,unica,images/cables-iphone/cargador ligthning.jpg
8fc9df66a608af06a65265bd188ac1c3,cables-iphone/cargador usb c portada.webp,unica,images/cables-iphone/cargador usb c portada.webp
d3615c349418ec25a48efe0e02cea943,cables-iphone/cargador usb c.jpg,unica,images/cables-iphone/cargador usb c.jpg
475239dce5efe2ea0326026a18f4a675,cables-iphone/cargador.webp,unica,images/cables-iphone/cargador.webp
94c625c266b9d4bea9a4302ed87a14cb,cables-iphone/ubs a c lightning.jpg,unica,images/cables-iphone/ubs a c lightning.jpg
2b9293642182353601bf98a39d224048,cables-iphone/usb c a c.webp,unica,images/cables-iphone/usb c a c.webp
9cedc4ea933743db999c0d0f929c3894,cables-iphone/usb c a lightning.webp,unica,images/cables-iphone/usb c a lightning.webp
4c4c33cc1c888b7a9376376f7bdc4e20,cables-iphone/usb c a ligthning portada.jpg,unica,images/cables-iphone/usb c a ligthning portada.jpg
ee0ce4e7dd41151cf3be200453d41be0,cables-iphone/usb c.webp,unica,images/cables-iphone/usb c.webp
5159902ec2b4951a1a59daeb82132078,"carcasas-silicona-iphone/11 Pro, 11 Pro Max azul navy.jpg",unica,"images/carcasas-silicona-iphone/11 Pro, 11 Pro Max azul navy.jpg"
bfc32d36bb8a516bd5b8a07b57a08975,"carcasas-silicona-iphone/11 Pro, 11 Pro Max negro.jpg",unica,"images/carcasas-silicona-iphone/11 Pro, 11 Pro Max negro.jpg"
8d77db956f655737f8922155a9fde67a,"carcasas-silicona-iphone/12 Mini, 12 negro.jpg",unica,"images/carcasas-silicona-iphone/12 Mini, 12 negro.jpg"
d51d8cdb8afaf1f37766ec384e5504c2,carcasas-silicona-iphone/12 Pro Max negro.jpg,unica,images/carcasas-silicona-iphone/12 Pro Max negro.jpg
d7b5f9a5a4d121dfb35cd995844df7ee,"carcasas-silicona-iphone/13 Pro Max, 14 Pro, 14 Pro Max, 15 Pro, 15 Pro Max, 16 Pro, 16 Pro Max azul navy.png",unica,"images/carcasas-silicona-iphone/13 Pro Max, 14 Pro, 14 Pro Max, 15 Pro, 15 Pro Max, 16 Pro, 16 Pro Max azul navy.png"
ea94ac687c2b68536e8874e41948073c,"carcasas-silicona-iphone/13 Pro Max, 14 Pro, 14 Pro Max, 15 Pro, 15 Pro Max, 16 Pro, 16 Pro Max negro.jpg",unica,"images/carcasas-silicona-iphone/13 Pro Max, 14 Pro, 14 Pro Max, 15 Pro, 15 Pro Max, 16 Pro, 16 Pro Max negro.jpg"
6870baee290e68aff7c441d3dd7c1dee,"carcasas-silicona-iphone/16, 16 Plus, 17 azul navy.png",unica,"images/carcasas-silicona-iphone/16, 16 Plus, 17 azul navy.png"
bef892f024062a0d7a356e70ca32572f,"carcasas-silicona-iphone/16, 16 Plus, 17 negro.jpg",unica,"images/carcasas-silicona-iphone/16, 16 Plus, 17 negro.jpg"
bc26bd06e6aec92e05f60e226bff0133,carcasas-silicona-iphone/17 Air negro.jpg,unica,images/carcasas-silicona-iphone/17 Air negro.jpg
a6e09c4ae17c90949d14661b287118d4,"carcasas-silicona-iphone/17 Pro, 17 Pro Max azul navy.png",unica,"images/carcasas-silicona-iphone/17 Pro, 17 Pro Max azul navy.png"
