imagen,estado,portada,kb,calidad_jpg
images/cuidado-personal/maquina-cortar-pelo-dorada/caja-maquina-dorada-cortar-pelo-portada.png,procesada,images/cuidado-personal/maquina-cortar-pelo-dorada/1_portada_caja-maquina-dorada-cortar-pelo-portada.jpg,134.8,84
images/cuidado-personal/maquina-cortar-pelo-dorada/cortadora-de-pelo-dorada.png,procesada,images/cuidado-personal/maquina-cortar-pelo-dorada/1_portada_cortadora-de-pelo-dorada.jpg,124.2,80
images/cuidado-personal/maquina-cortar-pelo-dorada/cortadora-oro-1.jpg,procesada,images/cuidado-personal/maquina-cortar-pelo-dorada/1_portada_cortadora-oro-1.jpg,125.7,80
images/cuidado-personal/maquina-cortar-pelo-dorada/cortadora-oro-2.jpg,procesada,images/cuidado-personal/maquina-cortar-pelo-dorada/1_portada_cortadora-oro-2.jpg,136.1,84
images/cuidado-personal/maquina-cortar-pelo-dorada/cortadora-oro-3.jpg,omitida (lista de exclusion),,,
images/cuidado-personal/maquina-cortar-pelo-dorada/informacion-maquina-dorada.jpg,omitida (infografia/banner),,,
images/cuidado-personal/maquina-cortar-pelo-grande/cortadora-neg-1.jpg,procesada,images/cuidado-personal/maquina-cortar-pelo-grande/1_portada_cortadora-neg-1.jpg,123.2,80
images/cuidado-personal/maquina-cortar-pelo-grande/cortadora-neg-2.jpg,omitida (lista de exclusion),,,
images/cuidado-personal/maquina-cortar-pelo-grande/cortadora-neg-3.jpg,omitida (lista de exclusion),,,
images/cuidado-personal/maquina-cortar-pelo-grande/cortadora-neg-4.jpg,omitida (lista de exclusion),,,
images/cuidado-personal/maquina-cortar-pelo-grande/info.webp,omitida (infografia/banner),,,
images/cuidado-personal/maquina-cortar-pelo-grande/instrucciones.webp,omitida (infografia/banner),,,
images/cuidado-personal/maquina-cortar-pelo-grande/mas-info.webp,omitida (infografia/banner),,,
images/cuidado-personal/maquina-cortar-pelo-grande/modelos.webp,omitida (infografia/banner),,,
images/cuidado-personal/maquina-cortar-pelo-grande/portada-maquina-de-cortar-grande.png,procesada,images/cuidado-personal/maquina-cortar-pelo-grande/1_portada_portada-maquina-de-cortar-grande.jpg,121.9,80
images/deportes/cascos-trip-enduro/trip-enduro-blk-1.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-blk-1.jpg,132.3,88
images/deportes/cascos-trip-enduro/trip-enduro-blk-2.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-blk-2.jpg,128.3,92
images/deportes/cascos-trip-enduro/trip-enduro-blk-3.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-blk-3.jpg,130.5,88
images/deportes/cascos-trip-enduro/trip-enduro-blu-1.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-blu-1.jpg,128.1,76
images/deportes/cascos-trip-enduro/trip-enduro-blu-2.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-blu-2.jpg,129.3,84
images/deportes/cascos-trip-enduro/trip-enduro-blu-3.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-blu-3.jpg,136.4,80
images/deportes/cascos-trip-enduro/trip-enduro-dsl-1.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-dsl-1.jpg,127.4,84
images/deportes/cascos-trip-enduro/trip-enduro-dsl-2.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-dsl-2.jpg,138.5,88
images/deportes/cascos-trip-enduro/trip-enduro-dsl-3.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-dsl-3.jpg,134.3,84
images/deportes/cascos-trip-enduro/trip-enduro-ebl-1.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-ebl-1.jpg,138.8,84
images/deportes/cascos-trip-enduro/trip-enduro-ebl-2.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-ebl-2.jpg,138.7,88
images/deportes/cascos-trip-enduro/trip-enduro-ebl-3.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-ebl-3.jpg,127.0,80
images/deportes/cascos-trip-enduro/trip-enduro-ebp-1.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-ebp-1.jpg,133.6,84
images/deportes/cascos-trip-enduro/trip-enduro-ebp-2.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-ebp-2.jpg,123.4,84
images/deportes/cascos-trip-enduro/trip-enduro-ebp-3.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-ebp-3.jpg,133.9,84
images/deportes/cascos-trip-enduro/trip-enduro-epb-1.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-epb-1.jpg,136.7,80
images/deportes/cascos-trip-enduro/trip-enduro-epb-2.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-epb-2.jpg,130.9,84
images/deportes/cascos-trip-enduro/trip-enduro-epb-3.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-epb-3.jpg,138.6,76
images/deportes/cascos-trip-enduro/trip-enduro-org-1.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-org-1.jpg,126.8,80
images/deportes/cascos-trip-enduro/trip-enduro-org-2.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-org-2.jpg,137.3,84
images/deportes/cascos-trip-enduro/trip-enduro-org-3.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-org-3.jpg,134.1,88
images/deportes/cascos-trip-enduro/trip-enduro-prp-1.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-prp-1.jpg,138.3,84
images/deportes/cascos-trip-enduro/trip-enduro-prp-2.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-prp-2.jpg,122.4,88
images/deportes/cascos-trip-enduro/trip-enduro-prp-3.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-prp-3.jpg,131.4,84
images/deportes/cascos-trip-enduro/trip-enduro-wtq-1.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-wtq-1.jpg,125.7,80
images/deportes/cascos-trip-enduro/trip-enduro-wtq-2.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-wtq-2.jpg,125.9,88
images/deportes/cascos-trip-enduro/trip-enduro-wtq-3.jpg,procesada,images/deportes/cascos-trip-enduro/1_portada_trip-enduro-wtq-3.jpg,129.2,84
